#Table1,,,,,,,,,,,,,,
objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1.24E+18,258.0388,63.982832,0.088923,0.014014,0.07901837,3.76E-05,7.00307958,19.87628,0.09067889,18.05482,0.008952778,17.17237,0.006300005,3
1.24E+18,258.02928,64.05549,0.079288,0.009336,0.08279845,1.65E-05,3.44481301,19.40644,0.04744278,17.42016,0.005157641,16.49575,0.003851535,3
1.24E+18,258.03354,64.097415,0.078896,0.015089,0.07967802,2.03E-05,2.530808174,19.9445,0.06488913,18.11538,0.007188361,17.24741,0.005291835,3
1.24E+18,258.07722,64.008077,0.092351,0.015497,0.0809986,2.52E-05,5.25428766,20.07128,0.07312788,18.2945,0.008097946,17.40233,0.005804947,3
1.24E+18,258.11872,63.963722,0.112123,0.017495,0.08579054,2.91E-05,7.737427229,20.21355,0.07023104,18.39702,0.008033333,17.46246,0.005631237,3
1.24E+18,258.11872,63.963722,0.112123,0.017495,0.08575095,2.28E-05,7.737427229,20.21355,0.07023104,18.39702,0.008033333,17.46246,0.005631237,3
1.24E+18,258.13516,64.002787,0.086293,0.008851,0.08500046,2.30E-05,5.389856592,18.50876,0.03999698,16.4937,0.004095987,15.54861,0.003045357,3
1.24E+18,258.13516,64.002787,0.086293,0.008851,0.0849261,1.57E-05,5.389856592,18.50876,0.03999698,16.4937,0.004095987,15.54861,0.003045357,3
1.24E+18,258.13222,63.997333,0.102861,0.012179,0.07837883,2.21E-05,5.715857304,20.20772,0.07331699,18.24144,0.00755412,17.3039,0.005303835,3
1.24E+18,258.12711,64.016596,0.084826,0.010782,0.08224989,1.86E-05,4.560503387,19.70537,0.05979078,17.59886,0.00570106,16.67216,0.004174533,3
1.24E+18,258.11967,64.109101,0.088812,0.016811,0.07412706,5.87E-06,1.0219152,18.59705,0.02384329,17.76956,0.005790633,17.47699,0.005766705,3
1.24E+18,258.20332,63.938051,0.069025,0.036068,0.07055867,3.49E-05,9.475231624,20.13532,0.07407616,18.24378,0.007680669,17.52853,0.006063744,3
1.24E+18,258.20332,63.938051,0.069025,0.036068,0.07064625,2.94E-05,9.475231624,20.13532,0.07407616,18.24378,0.007680669,17.52853,0.006063744,3
1.24E+18,258.20006,63.937414,0.108175,0.017447,0.08254481,3.44E-05,9.494035903,20.29619,0.1084622,18.33727,0.01008943,17.43308,0.006939779,3
1.24E+18,258.14202,64.097222,0.07716,0.018802,0.07617816,5.18E-06,0.429174675,18.69307,0.02258424,17.84919,0.005606221,17.73399,0.006102856,3
1.24E+18,258.21274,63.960697,0.096057,0.016953,0.08137539,2.69E-05,8.210961598,20.26821,0.08907271,18.42608,0.009189234,17.54263,0.006488462,3
1.24E+18,258.23101,64.029253,0.084477,0.012588,0.080997,2.77E-05,4.640520239,20.3571,0.09317045,18.21394,0.007786784,17.31192,0.005579782,3
1.24E+18,258.23101,64.029253,0.084477,0.012588,0.08105769,2.21E-05,4.640520239,20.3571,0.09317045,18.21394,0.007786784,17.31192,0.005579782,3
1.24E+18,258.23112,64.032429,0.103082,0.034228,0.08127932,1.37E-05,4.488327863,19.72405,0.07632108,18.28127,0.009322798,17.63827,0.007875269,3
1.24E+18,258.31944,64.055688,0.078014,0.010472,0.07458469,2.19E-05,5.454981236,19.20026,0.04693316,17.23247,0.00511249,16.31498,0.003793756,3
1.24E+18,258.31944,64.055688,0.078014,0.010472,0.07462378,1.73E-05,5.454981236,19.20026,0.04693316,17.23247,0.00511249,16.31498,0.003793756,3
1.24E+18,258.37128,64.046858,0.088149,0.008302,0.07843956,2.24E-05,6.914490158,17.8016,0.03268467,15.65321,0.00342843,14.64711,0.002436558,3
1.24E+18,258.37128,64.046858,0.088149,0.008302,0.07844017,1.77E-05,6.914490158,17.8016,0.03268467,15.65321,0.00342843,14.64711,0.002436558,3
1.24E+18,258.33324,64.056802,0.088235,0.012191,0.07682644,1.87E-05,5.762331685,19.85969,0.06792763,17.76187,0.006278415,16.80067,0.004486618,3
1.24E+18,258.30574,63.977073,0.093296,0.01659,0.07765399,2.68E-05,8.336215395,20.15805,0.08156767,18.27808,0.008394576,17.38538,0.005922511,3
1.24E+18,258.35557,63.978695,0.085656,0.014408,0.0792056,2.79E-05,9.054772157,19.94582,0.07072819,18.06053,0.007503952,17.18943,0.005421736,3
1.24E+18,258.35557,63.978695,0.085656,0.014408,0.0792018,2.31E-05,9.054772157,19.94582,0.07072819,18.06053,0.007503952,17.18943,0.005421736,3
1.24E+18,258.29265,63.985146,0.085282,0.010113,0.08157108,3.17E-05,7.740959022,19.67687,0.06175372,17.76402,0.006555113,16.86453,0.004725042,3
